from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,420,  1.00,  0.00, 36.00,  0.00,720.00,2160.00,  0.00,60.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,421,  1.00,  0.00, 60.00, 36.00,1200.00,3600.00, 12.00,60.00,0.00,0,36,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,422,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,96,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,423,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,156,96,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,424,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,216,156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,425,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,276,216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,426,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,336,276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,427,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,396,336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,428,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,456,396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,429,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,516,456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,430,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 20.00,60.00,0.00,0,576,516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,1,431,  1.00,  0.00, 53.00, 60.00,1060.00,3180.00, 20.00,60.00,0.00,0,636,576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
