vehicle id,anaysis_travel_distance,anaysis_travel_time
0,11.4,11.7
1,11.4,11.7
2,11.4,11.7
3,11.4,11.6
4,11.4,11.6
5,11.4,11.6
6,11.4,11.7
7,11.4,11.7
8,11.4,11.6
9,11.4,11.7
10,11.4,11.7
11,11.4,11.7
12,11.4,11.7
13,11.4,11.7
14,11.4,11.8
15,11.4,11.7
16,11.4,11.7
17,11.4,11.7
18,11.4,11.8
19,11.4,11.8
20,11.4,11.8
21,11.4,11.7
22,11.4,11.7
23,11.4,11.8
24,11.4,11.8
25,11.4,11.8
26,11.4,11.8
27,11.4,11.8
28,11.4,11.8
29,11.4,11.8
30,11.4,11.8
31,11.4,11.8
32,11.4,11.9
33,11.4,11.8
34,11.4,11.8
35,11.4,11.8
36,11.4,11.9
37,11.4,11.9
38,11.4,11.9
39,11.4,11.8
40,11.4,11.8
41,11.4,11.9
42,11.4,11.9
43,11.4,11.9
44,11.4,11.9
45,11.4,11.9
46,11.4,11.9
47,11.4,11.9
48,11.4,11.9
49,11.4,11.9
50,11.4,12.0
51,11.4,11.9
52,11.4,11.9
53,11.4,11.9
54,11.4,12.0
55,11.4,12.0
56,11.4,12.0
57,11.4,11.9
58,11.4,11.9
59,11.4,12.0
60,11.4,12.0
61,11.4,12.0
62,11.4,12.0
63,11.4,12.0
64,11.4,12.0
65,11.4,12.0
66,11.4,12.0
67,11.4,12.0
68,11.4,12.1
69,11.4,12.0
70,11.4,12.0
71,11.4,12.0
72,11.4,12.1
73,11.4,12.1
74,11.4,12.1
75,11.4,12.0
76,11.4,12.0
77,11.4,12.1
78,11.4,12.1
79,11.4,12.1
80,11.4,12.1
81,11.4,12.1
82,11.4,12.1
83,11.4,12.1
84,11.4,12.1
85,11.4,12.1
86,11.4,12.2
87,11.4,12.1
88,11.4,12.1
89,11.4,12.1
90,11.4,12.2
91,11.4,12.2
92,11.4,12.2
93,11.4,12.1
94,11.4,12.1
95,11.4,12.2
96,11.4,12.2
97,11.4,12.2
98,11.4,12.2
99,11.4,12.2
100,11.4,12.2
101,11.4,12.2
102,11.4,12.2
103,11.4,12.2
104,11.4,12.3
105,11.4,12.2
106,11.4,12.2
107,11.4,12.2
108,11.4,12.3
109,11.4,12.3
110,11.4,12.3
111,11.4,12.2
112,11.4,12.2
113,11.4,12.3
114,11.4,12.3
115,11.4,12.3
116,11.4,12.3
117,11.4,12.3
118,11.4,12.3
119,11.4,12.3
120,11.4,12.3
121,11.4,12.3
122,11.4,12.4
123,11.4,12.3
124,11.4,12.3
125,11.4,12.3
126,11.4,12.4
127,11.4,12.4
128,11.4,12.4
129,11.4,12.3
130,11.4,12.3
131,11.4,12.4
132,11.4,12.4
133,11.4,12.4
134,11.4,12.4
135,11.4,12.4
136,11.4,12.4
137,11.4,12.4
