from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,1,420,  1.00,  0.00, 61.00,  1.00,1220.00,3660.00,  1.67,60.00,0.00,0,5,0,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,421,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,66,1,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,422,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,126,61,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,423,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,186,121,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,424,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,246,181,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,425,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,306,241,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,426,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,366,301,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,427,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,426,361,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,428,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,486,421,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,429,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,546,481,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,430,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,606,541,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,431,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,666,601,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,432,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,726,661,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,433,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,786,721,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,434,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,846,781,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,435,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,906,841,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,436,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,966,901,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,437,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1026,961,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,438,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1086,1021,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,439,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1146,1081,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,440,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1206,1141,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,441,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1266,1201,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,442,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1326,1261,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,443,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1386,1321,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,444,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1446,1381,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,445,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1506,1441,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,446,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1566,1501,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,447,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1626,1561,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,448,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1686,1621,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,449,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1746,1681,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,450,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1806,1741,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,451,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1866,1801,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,452,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1926,1861,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,453,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,1986,1921,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,454,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2046,1981,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,455,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2106,2041,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,456,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2166,2101,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,457,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2226,2161,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,458,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2286,2221,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,459,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2346,2281,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,460,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2406,2341,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,461,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2466,2401,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,462,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2526,2461,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,463,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2586,2521,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,464,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2646,2581,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,465,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2706,2641,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,466,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2766,2701,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,467,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2826,2761,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,468,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2886,2821,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
1,3,1->3,1,469,  1.00,  0.00, 60.00, 60.00,1200.00,3600.00, 21.67,60.00,0.00,0,2946,2881,460431.968750,33.090107,2.722879,34.460529,0.339792,0.000000,0.000000,
